seed,num_customer_requests,num_robots,num_operators,utilization_time_period,num_delivered,delivery_rate,utilization_rate,num_risks
3219,20,3,1,"['0900-1030', '0930-1100', '1030-1200']",16,0.8,[0.96399469 0.70618557 0.47758341],6
3281,30,4,2,[],30,1.0,[0.94594595 0.96239151 0.97218954 0.90952476],22
2319,30,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[1.         0.70801815 0.53251548 0.47132449],11
9210,25,2,2,"['0900-1030', '1030-1200']",10,0.4,[0.92034314 0.466946  ],11
1505,30,3,2,[],30,1.0,[0.93426055 0.95824411 0.94486998],24
9822,20,2,1,"['0900-1030', '1030-1200']",10,0.5,[0.94007007 0.45104003],8
1206,30,4,1,[],30,1.0,[0.84777893 0.80945581 0.82612235 0.84148108],41
1728,25,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.9419228  0.68306395 0.46255388],21
3780,30,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[0.94586717 0.69790292 0.54589725 0.45848375],10
8721,25,2,1,[],20,0.8,[0.91842252 0.90859282],19
364,20,3,2,[],20,1.0,[0.9552125  0.90003845 0.9866776 ],20
4342,30,4,3,[],30,1.0,[0.92523006 0.95291805 0.97511485 0.95929869],21
4216,30,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.92230191 0.71224578 0.42814815],16
1173,25,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.9716899  0.69152441 0.45552744],9
4687,20,2,1,"['0900-1030', '1030-1200']",11,0.55,[0.97262005 0.49598656],2
1728,30,2,2,[],20,0.6666666666666666,[0.93081761 0.91725421],24
9395,20,3,2,[],20,1.0,[0.94194701 0.96505376 0.91360228],19
912,30,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[0.91669718 0.69809322 0.5784358  0.48644131],14
3285,20,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,1.0,[0.94784353 0.654047   0.51974001 0.45660522],23
7089,25,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.96107007 0.92787395 0.44653906 0.49001914],18
1189,20,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",20,1.0,[0.9031559  0.95209139 0.45066274 0.47899506],21
231,25,2,2,[],20,0.8,[0.93476515 0.92297174],23
3780,20,2,1,"['0900-1030', '1030-1200']",10,0.5,[0.92858712 0.46269223],9
5655,30,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[0.93410042 0.67850494 0.52394758 0.41962044],17
5694,25,3,2,[],25,1.0,[0.92535755 0.9758162  0.96416759],18
4666,25,3,2,[],25,1.0,[0.9745048  0.96712523 0.97980948],10
8402,25,3,3,[],25,1.0,[0.97411132 0.96300161 0.93104668],16
4459,20,2,2,"['0900-1030', '1030-1200']",10,0.5,[0.94254144 0.44189901],9
677,25,4,2,[],25,1.0,[0.96215511 0.96215062 0.95589046 0.92764378],18
8877,30,2,2,[],20,0.6666666666666666,[0.96158392 0.96085516],12
6254,25,2,3,[],20,0.8,[0.96197348 0.92457209],18
8402,30,3,1,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.94175627 0.70490506 0.48225393],9
3780,30,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.9256003  0.89469725 0.4587529  0.48698526],14
9210,25,2,3,"['0900-1200', '1000-1100']",13,0.52,[0.93874859 0.42370857],14
1189,25,2,1,[],20,0.8,[0.90375101 0.91364254],20
8463,30,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[1.         0.72513089 0.5596814  0.4420904 ],10
803,25,4,1,[],25,1.0,[0.92846169 0.89846705 0.92576979 0.9049966 ],15
1569,25,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.91085423 0.68639315 0.5714614  0.44461382],15
1159,20,2,2,"['0900-1030', '1030-1200']",10,0.5,[0.93809524 0.47967633],7
7089,30,2,1,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.94583333 0.47375517],11
231,25,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",23,0.92,[0.92031309 0.94462194 0.46653318 0.44412442],24
3215,20,3,3,"['0900-1030', '0930-1100', '1030-1200']",16,0.8,[0.95229358 0.72037464 0.47553744],12
9499,30,2,3,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.98615254 0.46086556],8
7413,20,4,3,[],20,1.0,[1.         0.9288451  0.95672437 0.96965453],11
4459,30,2,1,[],19,0.6333333333333333,[0.91308157 0.92714044],16
3752,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.94431356 0.64825101 0.54170444 0.44709291],20
4960,30,2,1,"['0900-1200', '1000-1100']",13,0.43333333333333335,[0.8867628  0.46045085],22
4666,30,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.7,[0.96203271 0.73557351 0.58246232 0.44821393],9
6513,20,2,3,[],20,1.0,[0.93542619 0.92854002],20
4370,30,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.94159928 0.95826199 0.44848908 0.49085449],16
2001,20,2,1,"['0900-1200', '1000-1100']",14,0.7,[0.91675751 0.48805135],14
6513,30,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",23,0.7666666666666667,[0.90469208 0.93910437 0.42712551 0.4515896 ],28
7067,20,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.75,[0.96234067 0.71089754 0.45324575],8
1694,30,2,2,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.91691521 0.4769856 ],14
8895,25,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.94834608 0.93649863 0.43546778 0.47791966],22
1429,30,3,1,[],30,1.0,[0.91718638 0.94378819 0.90871046],17
5394,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.9656832  0.67942733 0.54997659 0.44585987],10
7998,30,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[0.96087315 0.7117885  0.55897787 0.4512947 ],13
4877,20,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",20,1.0,[0.91894139 0.91392357 0.44122517 0.47129695],18
1125,20,4,1,[],20,1.0,[0.94485294 0.90254237 0.93194707 0.90382784],12
4459,25,2,2,"['0900-1030', '1030-1200']",10,0.4,[0.94611399 0.47296559],10
7413,20,3,2,"['0900-1030', '0930-1100', '1030-1200']",16,0.8,[0.94883904 0.70371508 0.47928437],8
6254,30,4,3,[],30,1.0,[0.92915882 0.93629949 0.95338831 0.96585058],25
9499,30,3,2,"['0900-1200', '0900-1030', '1030-1200']",20,0.6666666666666666,[0.92736077 0.97487923 0.42410981],20
1164,20,3,2,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.9387691  0.97289973 0.45545507],15
8632,20,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,1.0,[0.94818653 0.70149254 0.56818436 0.44881493],13
4687,30,2,3,[],21,0.7,[0.96231884 0.96384202],12
4877,20,4,1,[],20,1.0,[0.85214243 0.86309524 0.86772487 0.82792722],18
6388,30,4,3,[],30,1.0,[0.9500816  0.97511485 0.94626434 0.91666667],25
4568,25,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.8,[0.93326886 0.94199963 0.41944776],14
677,25,2,2,"['0900-1200', '1000-1100']",14,0.56,[0.95131086 0.49441302],9
677,30,4,2,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.96843741 0.93836526 0.46512947 0.49459497],14
1164,20,2,3,"['0900-1200', '1000-1100']",13,0.65,[0.92531377 0.44545317],14
7067,20,4,2,[],20,1.0,[0.9729142  0.94874455 0.96064014 0.95124695],11
6140,25,2,2,"['0900-1200', '1000-1100']",14,0.56,[0.96134404 0.49301425],7
1791,30,3,1,"['0900-1030', '0930-1100', '1030-1200']",16,0.5333333333333333,[0.98684211 0.73706471 0.47928437],4
1719,30,3,2,[],30,1.0,[0.95721674 0.9792509  0.96286775],16
4475,30,2,3,"['0900-1200', '1000-1100']",14,0.4666666666666667,[0.90340856 0.46631979],19
7617,20,4,2,[],20,1.0,[0.92222459 0.97052154 0.91371291 0.95307263],18
1173,20,2,1,"['0900-1030', '1030-1200']",11,0.55,[0.95147443 0.47909878],7
1694,25,2,2,"['0900-1200', '1000-1100']",13,0.52,[0.89558233 0.43385157],22
2269,30,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.96069341 0.71170196 0.46704134],7
4668,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.8,[0.88529255 0.64805336 0.55460007 0.46809547],14
2319,25,4,1,[],25,1.0,[0.91457093 0.95892287 0.92376499 0.9414544 ],14
2194,20,4,1,[],20,1.0,[0.94925435 0.94935584 0.95131885 0.9338391 ],6
4877,20,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",19,0.95,[0.94537815 0.66978777 0.53777273 0.43667849],18
6513,30,2,2,[],20,0.6666666666666666,[0.93096457 0.91680614],24
6363,25,2,3,[],20,0.8,[0.94247788 0.95038641],17
908,30,2,1,"['0900-1200', '1000-1100']",13,0.43333333333333335,[0.94352483 0.42438249],13
3636,20,2,3,[],20,1.0,[0.95485215 0.94523497],16
